Name,Type,Status,Location,Tags,Relationships,Background Story,Image,Race,Role,Notes,Appearance,Class,Faction
Sergeant Braska Holt,NPC,Alive,Eldenhold,,,"A half-orc female, Sergeant Braska Holt is the enforcer of discipline within the ranks, the one who turns recruits into warriors through sweat, blood, and sheer willpower. With deep green skin, piercing amber eyes, and a heavily muscled build, she commands respect simply by existing. Her voice is sharp as a blade, her commands are non-negotiable, and her ability to break the strongest-willed recruit is legendary.

Braska admires Thornvale but believes he’s too rigid. “War ain’t a rulebook,” she often tells him. She has a long-standing friendship with Wilfred ""Willy"" Greaves, often groaning at his antics but secretly appreciating his ability to get results his way. Malrik Dunholm, on the other hand, is everything she despises—a man who sees power as a tool for cruelty instead of protection.

Despite her rough demeanor, Braska cares deeply for her soldiers—not in words, but in actions. She’s the first to patch up a wounded recruit, the first to pull a soldier out of the mud, and the last to leave the field.",Untitled/Sergeant_Braska_Holt.webp,"Half-Orc, Female",Sergeant,"The enforcer of discipline within the ranks, known for her tough love approach.",,,
"Wilfred ""Willy"" Greaves",NPC,Alive,Eldenhold,,,"A halfling male, Wilfred ""Willy"" Greaves is a scout, a spy, and a walking headache for every commanding officer above him. Short and wiry, with unkempt sandy hair, a perpetual smirk, and a devil-may-care attitude, Willy excels at what he does—gathering intelligence, infiltrating enemy lines, and escaping when no one else can.

Willy drives General Thornvale insane, often referring to him as ""old man"" just to see his jaw twitch. Sergeant Braska Holt, however, lets him get away with more than she should, knowing that his methods, though unconventional, have saved lives. His relationship with Malrik Dunholm is outright hostile—Willy mockingly calls him ""The Dungeon King,"" and Malrik has nearly thrown him into a cell more than once.

Though Willy laughs at rules and mocks authority, he isn’t reckless—just pragmatic. “You fight when you have to, you run when you need to, and you steal the enemy’s dinner while you’re at it.”",Untitled/Wilfred_Willy_Greaves.webp,"Halfling, Male",Scout,"A cheeky and unconventional scout, gathering intelligence with unorthodox methods.",,,
Malrik Dunholm,NPC,Alive,Eldenhold,,,"A dwarf male, Malrik Dunholm rules the Valeris prison with an iron fist—sometimes literally. With a thick, jet-black beard, a shaved head, and arms as solid as iron bars, he embodies the concept of law as absolute.

Malrik believes in punishment fitting the crime, though his idea of “fitting” is often extreme. The guilty suffer, the weak fall, and only the strong endure. He sees General Thornvale as too lenient, Braska Holt as too reckless, and Wilfred Greaves as a waste of a uniform. “Soldiers fight. Spies skulk. I know which I respect.”

Despite his harsh nature, Malrik is not corrupt. He truly believes he protects Valeris by keeping its criminals caged—he just has no sympathy for those who fail to meet his standard.",Untitled/Malrik_Dunholm.webp,"Dwarf, Male",Prison Warden,A tyrannical warden who believes in absolute punishment.,,,
"Durnik ""The Scar"" Vale",NPC,Alive,Eldenhold,,,"Durnik ""The Scar"" Vale is the weathered and calculating human owner of The Broken Dagger. His scarred face and watchful eyes betray a past steeped in violence, though these days, he’s more concerned with maintaining control over the seediest bar in Valeris than wielding a blade himself. A former mercenary, he now acts as a neutral broker for thieves, assassins, and those looking to deal in secrets. He has an unspoken truce with Selene Varro, who allows his establishment to exist so long as he feeds her network information when needed. He keeps Silas Crowne close, though he doesn’t trust him, knowing the rogue plays too many sides. His most pressing concern is Lazari ""Rat"" Fenwick, the goblin snitch who constantly skitters around, selling secrets to whoever pays—Durnik hasn’t decided yet whether Rat is more useful alive or dead.",Untitled/Durnik_The_Scar_Vale.webp,"Human, Male",Innkeeper,A weathered and calculating former mercenary who runs the seediest bar in Valeris.,,,
"Lazari ""Rat"" Fenwick",NPC,Alive,Eldenhold,,,"Lazari ""Rat"" Fenwick is a wiry, slippery goblin with twitchy fingers and an even twitchier mind. He thrives on secrets and the fear of being caught, selling information to whoever will pay, even if it means playing two sides of the same fight. While Durnik tolerates him for now, Selene Varro has personally warned Rat about selling information outside her network—he may have just enough sense to listen, but only time will tell. He’s terrified of Veyna ""The Ghost"" Kael, convinced she’s watching him even when she’s nowhere to be seen. The only person he trusts, if you could call it that, is Sniv the Unlucky, who he often meets in dark alleyways to swap gossip and gold. He and Sniv work together to smuggle contraband into the city, though Rat is careful not to cross Gerrold Dunn, who would have him locked up in Dunholm’s Hold without hesitation.",Untitled/Lazari_Rat_Fenwick.webp,"Goblin, Male",Informant,"A slippery goblin dealer of secrets, thriving on deception and danger.",,,
Silas Crowne,NPC,Alive,Eldenhold,,,"Silas Crowne is a smooth-talking human rogue who deals in deception like a gambler deals cards—effortlessly and always with a winning hand. A master of disguise and social maneuvering, Silas is known to work with multiple factions, often playing them against each other for personal gain. He has deep ties to Elyssa Dorne, sometimes acting as her eyes and ears in the slums, though neither fully trusts the other. His relationship with Durnik is one of mutual exploitation—Silas gets information, Durnik gets paid. His casual charm hides a sharp mind, one that’s always calculating the risks and rewards of betrayal. Selene Varro keeps a wary eye on him, suspecting he’s involved in something bigger than just backroom deals and stolen coin.",Untitled/Silas_Crowne.webp,"Human, Male",Rogue,A smooth-talking rogue who manipulates factions and plays them against each other.,,,
"Veyna ""The Ghost"" Kael",NPC,Alive,Unknown,,,"Veyna ""The Ghost"" Kael is a drow assassin whose name is whispered with fear in Valeris’ underworld. She moves unseen, striking targets with precision and disappearing before anyone realizes she was even there. Her motives remain elusive, though it’s believed she works for an unknown benefactor outside the city. Durnik allows her to operate in The Broken Dagger, but only under strict terms—no business within his walls, no exceptions. Rat Fenwick avoids her at all costs, convinced he’s next on her list, while Silas Crowne has tried (and failed) to pry into her past. The most curious relationship she has is with Kaela Voss, the bounty hunter who once tracked her but let her go. There is an uneasy respect between them, though whether it will lead to another confrontation remains to be seen.",Untitled/Veyna_The_Ghost_Kael.webp,"Drow, Female",Assassin,"A deadly and silent assassin, feared by the underworld of Valeris.",,,
Kaela Voss,NPC,Alive,Sylvara,,,"Kaela Voss is a half-orc bounty hunter whose reputation in Valeris is equal parts legend and cautionary tale. Tall and broad-shouldered, with dark green skin, piercing amber eyes, and scars that map out a history of hard-won fights, she carries herself with the confidence of someone who has never lost a hunt. Wrapped in a tattered but sturdy leather coat, with a pair of matched axes strapped to her back, Kaela is as much a storyteller as she is a hunter.

She has spent years tracking dangerous criminals, deserters, and fugitives across Sunspire, and when she’s not on a job, she can often be found in taverns like the Gilded Gryphon, swapping bounty tales for drinks. Despite her gruff and sarcastic demeanor, Kaela has a strong sense of justice—she hunts those who deserve it, not those with the fattest purses. She has a deep respect for General Garric Thornvale, having worked with the military on several high-profile captures, but has little patience for the likes of Prison Warden Malrik Dunholm, whom she considers needlessly cruel.

Kaela has a long and complicated history with Veyna ""The Ghost"" Kael, having once been contracted to capture her. The job failed—not because Kaela lacked skill, but because Veyna had been set up. Rather than turning her in, Kaela let her go, creating a silent understanding between them. While they haven’t crossed paths in years, they both know their next meeting could just as easily be a reunion—or a battle to the death.

For all her strength and skill, Kaela carries herself as someone who laughs in the face of death—not because she isn’t afraid of it, but because she knows one day, it will catch up to her. Until then, she intends to drink, fight, and tell as many stories as she can before the last hunt finally finds her.",Untitled/Kaela_Voss.webp,"Half-Orc, Female",Bounty Hunter,A legendary bounty hunter who never loses a hunt and is known for her strength and skill.,,,
Magister Halvar Greythorn,NPC,Alive,Eldenhold,,,"Magister Halvar Greythorn is a human magistrate whose presence in Valeris is as unyielding as the laws he enforces. A tall, severe-looking man with iron-gray hair slicked back in strict order and a posture that never slouches, Halvar embodies discipline and order. His sharp blue eyes are calculating, missing nothing, and his deep navy robes are always immaculate, a stark contrast to the filth and corruption he constantly fights to root out.

As the highest arbiter of law in Valeris, Halvar is feared by criminals and respected by the nobility. He detests the lawlessness of the Broken Dagger, seeing it as a festering wound on the city’s reputation. He has clashed with Durnik ""The Scar"" Vale many times, but Durnik remains just careful enough to avoid outright breaking the laws Halvar enforces.

Halvar maintains a tense alliance with Master of Whispers Selene Varro. Though he dislikes spies and their methods, he knows that information is often the sharpest blade in his arsenal. The two share a mutual understanding—Halvar keeps things legally clean, while Selene deals with what the law cannot touch. They have never fully trusted one another, but both acknowledge that Valeris would be worse off without their combined efforts.

Despite his cold and calculating nature, Halvar is not corrupt. He truly believes in justice, and though his methods are harsh, his rulings are always fair. His presence is a reminder that while the streets may be filled with crime and deception, the Queen’s law still holds power.",Untitled/Magister_Halvar_Greythorn.webp,"Human, Male",Magistrate,A strict and calculating magistrate who enforces the law in Valeris.,,,
Elyssa Dorne,NPC,Alive,Eldenhold,,,"Elyssa Dorne is a human noblewoman of wealth and mystery, known both for her generosity and the whispered rumors that follow her every move. With dark chestnut hair elegantly braided, and piercing blue-gray eyes that see too much, she is an enigma wrapped in silken dresses and carefully measured smiles. Though she plays the part of a gracious philanthropist, those who watch closely know she moves like a strategist playing a game no one else can see.

Elyssa funds hospitals, orphanages, and public projects, always presenting herself as a noblewoman who cares for the people. Yet, beneath that kindness, she is watching, listening, waiting. Father Cassiel Dornhelm appreciates her financial support but questions her motives, wondering if her generosity is true faith or calculated investment. Selene Varro keeps an eye on her as well, suspecting Elyssa of backing secret causes that could shift power within Valeris.

Despite her reputation among the nobility, Elyssa is known to venture into the slums, though no one quite knows why. Some whisper that she is involved with criminal elements, while others believe she is simply gathering secrets more valuable than gold. What is certain is that Elyssa Dorne is not simply a noblewoman playing charity—she is a force moving in the shadows, and one day, the kingdom will feel the weight of whatever she is planning.",Untitled/Elyssa_Dorne.webp,"Human, Female",Noblewoman,A philanthropic noblewoman who plays the long game of politics.,,,
Old Man Griggs,NPC,Alive,Eldenhold,,,"""Old Man Griggs"" is a mystery in elven skin, a weathered elf who claims to remember things no living man should. With wild, unkempt silver hair, and pale, milky eyes that see far too much, he is often dismissed as a drunken madman by those who pass him on the streets. But those who listen—really listen—know his words carry fragments of forgotten truths.

Griggs spends most of his time wandering between taverns, the marketplace, and the outskirts of the Arcane Sanctum, muttering about ""the past that never was"" and ""the future that was stolen."" He speaks in riddles, often predicting events before they happen, but never in a way that can be easily understood.

Despite his disheveled appearance, there is something unnerving about Griggs. He avoids Archmage Vaelios, who seems to know more about him than he lets on, and Selene Varro has been seen watching him from the shadows more than once. Some say he was once a great scholar, while others believe he is something not entirely mortal, trapped in a body that refuses to age properly. Whatever the truth, one thing is certain—Old Man Griggs knows things no one should know, and those who listen too closely may not like what they hear.",Untitled/Old_Man_Griggs.webp,"Elf, Male",Prophet,"A drunken prophet with unkempt silver hair and pale eyes, speaking of forgotten truths.",,,
Captain Rhogar Skyscale,PC,Alive,Sylvara,,Azrul (../Matt%20Boyd's%20Notion%20HQ/1230400fbd458171936000421537b5b0/Sunspire/DM%20Notes/%F0%9F%94%A7%20Data%20%E2%80%94%20Tracy%20Integration/Characters/Azrul%202a00400fbd4581fd9c2fdab33c23b51e.csv),"Captain Rhogar Skyscale is a bronze dragonborn with a sharp grin, a sharper sword, and the sharpest wit in Valeris. Once a proud naval officer, Rhogar now sails the skies as the captain of the Storm Wraith, a skyship that answers to no kingdom. With gilded bronze scales that shimmer under torchlight and a long scar across his snout, he is both charismatic and dangerous, a man who plays by his own rules.

Once a hero of the Valerian Navy, Rhogar’s reckless tactics and defiance of orders led to his dishonorable discharge. Rather than lick his wounds, he turned to smuggling, sky piracy, and the occasional mercenary contract, running goods and secrets across the continent. He still has connections within the military, though General Garric Thornvale would rather see him hanged than pardoned.

Rhogar has strong ties to Wilfred ""Willy"" Greaves, often employing the halfling scout for jobs that require subtlety. He also has dealings with Rivak the Hollow, though their partnership is tense at best—Rhogar doesn’t trust magic, and Rivak doesn’t trust anyone.

Despite his outlaw reputation, Rhogar isn’t a villain. He has his own sense of honor, helping those in need when it suits him. But at the end of the day, he is a man of the sky, bound to nothing but the wind and the weight of his own legend.",Untitled/Captain_Rhogar_Skyscale.webp,"Dragonborn, Male",Skyship Captain,A former naval officer turned sky pirate with a sharp wit and sharper sword.,,Rogue,
Mruno Bars,PC,Alive,Sylvara,,,"Comes from the Deadlands, rushing away as fast as he can. In hot pursuit is a band of misfits- The Mythic Golden Minotaur Grand Guild who seem to want a pound of my flesh... Saying I owe them money or something hahahaha...hahaha ha. I travel the world to spread my music and the legs of any damsel who will let me. Not much is known about me, but my fabled Musical Troupe- The Silken Sonic- is known far and wide for bringing the best music and entertainment to the lands. Without their forerunner, how will the band stay together? ",Untitled/Mruno.png,Tiefling,Bard,,,Bard,The Silken Sonic Musical Troupe
Grenak Goateater,PC,Alive,Sylvara,,Reese (../Matt%20Boyd's%20Notion%20HQ/1230400fbd458171936000421537b5b0/Sunspire/DM%20Notes/%F0%9F%94%A7%20Data%20%E2%80%94%20Tracy%20Integration/Characters/Reese%202a00400fbd45810990befdf73208d4c3.csv),"Grenak hails from a lovely village settled on rolling hills with scattering boulders and sheep. And Grenak, being a handsome and strong orc, finds himself yearning for a bride. A beautiful lady orc. And Grenak has his eye on the most beautiful lady orc of all, Bertha. The largest, most voluptuous lady Orc in all the village. And nothing but the best will do for his intended bethrothed. In his village's tradition, it is customary to present a demon skull to your intended, the bigger the better. And as Bertha is the largest and most coveted of all the Orcs in Fergenstoren Village, Grenak must find the largest demon he could possibly identify and remove his head, dragging the skull back to his one and only bethrothed. So off he left, traveling the lands in search of the biggest demon he can find. 

During his journeys, he came across a handsome traveler named Reese, with a burning intent to kill demons. This is entertaining to Grenak and Reese's fighting skills impress him. Also, Reese enjoys a good drink, as does Grenak. Therefore Grenak has decided to travel with Reese, because there is nothing more that Grenak loves than killing demons and tavern brawling. 

And so their adventure begins. ",Untitled/Grenak.png,Orc,Barbarian,,,,
Reese,PC,MIA,Unknown,,Grenak Goateater (../Matt%20Boyd's%20Notion%20HQ/1230400fbd458171936000421537b5b0/Sunspire/DM%20Notes/%F0%9F%94%A7%20Data%20%E2%80%94%20Tracy%20Integration/Characters/Grenak%20Goateater%202a00400fbd45816b833bfb50aefb33d8.csv),,Untitled/Reese.webp,Eladrin,Warlock,,,Warlock,
Valen Silverpalm,PC,Alive,Sylvara,,,"A wanderer by birth, Valen Silverpalm was born to an elven mother and human father who were nomadic traders. From his youngest days, Valen has traveled all the kingdoms of SunSpire.
   Valen is what he appears. He is a man of fairness and even temper who is dedicated to protecting those who cannot protect themselves. Through his travels, he has helped many people and developed many skills.  As a young man, he became an accomplished carpenter as he learned to repair the wagons, rafts, and boats used by his family to move goods across the lands. In more recent years, he has become a brewer of fine ales, which he often overindulges in.
He was a young merchant when the Infernal Invasion fell upon the land. During those dark days, he witnessed many atrocities and acts of valor. He used his extensive knowledge of the lands of SunSpire and many contacts to help the countless refugees as best he could. Due to his efforts, many families were reunited, and many innocent lives were saved.
After the war, Valen was a changed man. He no longer cared for the life of a wealthy merchant. The battles between the gods, leaving mortals in the middle, had greatly disturbed him. He started to reason there must be one unifying power more powerful than the gods. After all, something had to have created the gods. Valen set out to discover this power and use it to end the gods' tyranny over man.
Valen has taken up the life of a lone traveling monk. He speaks to any who will listen of the one true power. He uses his many skills, and sometimes his abilities with the staff, to help those in need. But ever at the back of his mind is his quest to free the people of the will of the gods.",Untitled/Valen.png,Half-Elf,Monk,,,Monk,
Kelsynk Tchotcke,PC,Alive,Eldenhold,,,"Kelsynk is a resourceful artificer, using his knack for tinkering to craft gadgets and contraptions from the wreckage of the world around him.  He is interested in the things others toss aside—the scraps no one thinks twice about. A discarded spring, an old shard of glass, a broken tool… to most, it's trash; to him, it's potential. These are the bones of new inventions, the foundations of clever traps, or weapons that could turn the tide of battle. Each gadget a self-proclaimed work of intricate design, each one pushing the boundaries of goblin ingenuity. He does not just make things to blow up (though sometimes that was part of the fun), he makes things that solve problems, open doors, or uncover secrets hidden deep in the earth.

So, while others may chase after power, Kelsynk’s eyes are set on something far more valuable: the knowledge of the past, and the ingenuity of forgotten civilizations. And if he happens to collect a few shiny trinkets along the way, well... that's just the ""prize"" of doing business.

Kelsynk Tchotcke may not be the loudest or the flashiest, but in the ruins of the Deadlands, it’s the quiet ones who make off with the biggest prizes. He’ll keep taking, keep learning, until he’s uncovered every last secret buried beneath the earth.",Untitled/Kelsynck.jpg,Goblin,Artificer,,,Artificer,
Gale,PC,Alive,Eldenhold,,,"Allies:
Tara the tressym is far more than Gale’s pet; she has been his only advisor and friend since he was brought low by the orb. Tease him though she might, Tara will do everything she can to keep Gale safe. Just don't say she’s a cat.

Backstory:
 What’s a god to a world-class wizard? Gale was once a formidable archmage in Waterdeep, but pushed his relationship with the goddess Mystra too far. Not satisfied with being her lover, Gale tried to impress her further and meddled with powers beyond even his abilities, his attempt leaving him cursed with an orb of Netherese magic trapped inside his body. The cataclysmic power of the orb has turned Gale into a weapon capable of annihilating an entire city, should he fail to control himself.

Wracked with shame for his hubris, Gale retreated to his tower – first out of self-pity, and then out of necessity. His research led him to a means of keeping the orb's power contained, but only temporarily. Now, with the threat of ceremorphosis looming large can Gale see off both of the grim fates lurking within him, or is he doomed at every turn?",Untitled/Gale.jpeg,Human,Wizard,,,Wizard,
Jimmy,PC,Alive,Eldenhold,,,"He is alittle boy. Has a secret friend, Timmy that is a shadowed entity that only comes out when Jimmy needs help",,Human,Warlock,,,,
Roland Blackstone,PC,Alive,Sylvara,,,"“Ashreach burned. My brothers vanished. I’m the only one left to remember.”
Twenty years ago, Roland fought in the Infernal War, stationed at Ashreach Hill, a strategic outpost near the Deadlands. His company was wiped out during a brutal attack by a demonic entity whispered to be The Towerheart.
When Roland awoke, everyone was gone—no bodies, no blood, just silence. The only remnant was a cracked warhorn—his best friend's.
Though the war ended, Roland never found peace. He believes The Towerheart escaped and is still active. For two decades, he's hunted leads, deciphered infernal symbols, and trained relentlessly to end what was started on that hill.",Untitled/Roland.png,Human,Ranger,,,Ranger,Valerian Guard
Azrul,PC,Alive,Unknown,,Captain Rhogar Skyscale (../Matt%20Boyd's%20Notion%20HQ/1230400fbd458171936000421537b5b0/Sunspire/DM%20Notes/%F0%9F%94%A7%20Data%20%E2%80%94%20Tracy%20Integration/Characters/Captain%20Rhogar%20Skyscale%201950400fbd458061ab4dd99f5a8f0fff.csv),Azrul was a Chaplain for the Valarian Guard and was friends with Captain Rhogar Skyscale.  He left the Valarian Guard and took one of their Airships.,Untitled/Azrul.jpeg,Elf,Cleric,,,Cleric,Valarian Guard
Lady Arabelle Thorne,NPC,Alive,Valeria,Champion,,,Untitled/Lady_Arabelle_Thorne.webp,Human,"Lady Arabelle represents strength and unity. She is often seen as the de facto leader of the champions, balancing diplomacy with action.","Pragmatic, decisive, and fiercely protective of her people. She has a stern demeanor but carries the weight of past decisions and the lives lost under her command during the infernal invasion.","A tall, commanding woman in her mid-40s with piercing blue eyes and streaks of silver in her dark hair. She wears a blend of practical armor and regal finery, symbolizing her dual role as a warrior and leader.",Paladin/Fighter,
Elyndor Faelithil,NPC,Alive,Sylvara,Champion,,,Untitled/Elyndor_Faelithil.webp,Elf,"Elyndor acts as the magical expert among the champions, providing strategic insight and powerful arcane defenses.","Wise and contemplative, Elyndor often prefers observation over action but is decisive when necessary. He is a staunch believer in balance and the protection of nature.",A striking high elf with silvery hair that shimmers like moonlight and glowing violet eyes. His elegant robes of green and gold are inscribed with glowing runes.,Wizard (School of Abjuration) / Fighter (Eldritch Knight),
Thragar Ironfist,NPC,Alive,Karak Thul,Champion,,,Untitled/Thragar_Ironfist.webp,Dwarf,"Thragar is the group’s craftsman and a formidable frontline defender, often acting as the moral compass in moments of doubt.","Stoic and blunt, Thragar values action over words and has little patience for indecision. Beneath his gruff exterior lies a deep sense of loyalty and honor.","A stocky, broad-shouldered dwarf with a thick, fiery red beard and piercing gray eyes. His intricately crafted plate armor glows faintly with divine energy.",Forge Cleric / Fighter (Battle Master),
"Krivahn ""The Verdant Fang""",NPC,Alive,Mireholm,Champion,,,Untitled/Krivahn_The_Verdant_Fang.webp,Lizardfolk,"Krivahn is the guardian of nature within the group, blending raw strength with shamanic wisdom.","Stoic and deeply spiritual, Krivahn is a protector of nature and balance. She speaks only when necessary, but her words carry weight","A towering crocodilian Beastfolk with emerald-green scales and golden eyes. Her gear is crafted from the natural resources of Mireholm, adorned with charms and talismans.",Barbarian (Path of the Ancestral Guardian) / Druid (Circle of the Land - Swamp),
Merribelle Fairburrow,NPC,Alive,Greenhollow,Champion,,,Untitled/Merribelle_Fairburrow.webp,Halfling,"Merribelle is the strategist and diplomat, often finding unconventional solutions to problems.","Lighthearted and clever, Merribelle often uses humor to diffuse tension. Beneath her cheerful demeanor lies a sharp mind and unshakable resolve.","A cheerful halfling with curly auburn hair and a freckled face. She wears practical clothing with a finely crafted leather vest adorned with small trinkets.
",Rogue (Mastermind) / Bard (College of Lore),
"Gorrath ""The Unyielding""",NPC,,Thra'Zul,Champion,,,Untitled/Gorrath_The_Unyielding.webp,Orc,The party’s unbreakable frontline — a wall of muscle and willpower that no enemy gets past without bleeding for it.,"Grim, disciplined, and utterly resolute. Gorrath believes strength is earned through pain and endurance. He rarely speaks, but when he does, it’s either a battle cry or a warning. He is the immovable rock among a sea of chaos.","A hulking orc clad in ancient, battered armor engraved with battle scars. His crimson eyes glare beneath a heavy brow, and deep scars crisscross his face. His axe looks like it’s been cleaving skulls for decades.",Barbarian (Path of the Juggernaut),
Grizzik the Embered,NPC,,Skarggmar,Champion,,,Untitled/Grizzik_the_Embered.webp,Goblin,The wildcard and magical nuke of the party. Grizzik’s presence means the battlefield could shift at any moment — for better or worse.,"Unhinged, unpredictable, and delightfully chaotic. Grizzik thrives on mayhem, laughs in the face of danger (and sometimes reality), and solves problems with fire... usually a lot of it. Despite her madness, she’s fiercely loyal to her companions in her own warped way.","A wiry goblin with jagged teeth and glowing orange eyes. Her patchwork robes are scorched and crackling with unstable energy. Trinkets, bones, and arcane charms hang from her ears and wrists, some still smoking from her last magical outburst.",Sorcerer (Wild Magic) / Warlock (The Fiend),
